station_id,station_name,province,reading_time,temperature,humidity,wind_speed
1,Stasiun North Judithbury,Jawa Tengah,2024-08-19 21:51:23,20.45,55.13,4.46
2,Stasiun Lake Joyside,Jawa Tengah,2024-07-01 03:19:46,32.18,89.07,1.74
3,Stasiun Johnsonland,Kalimantan Barat,2024-08-18 05:46:21,20.57,45.15,4.65
4,Stasiun New Jamesside,Jawa Timur,2024-10-30 14:39:17,30.1,79.38,14.03
5,Stasiun Lawrencetown,Kalimantan Barat,2025-03-03 12:46:04,23.97,72.41,16.19
6,Stasiun Lake Roberto,Jawa Timur,2024-09-08 20:59:53,33.66,48.78,8.45
7,Stasiun Port Matthew,Riau,2024-07-03 06:13:57,22.8,92.65,6.73
8,Stasiun West Melanieview,Jawa Tengah,2025-03-21 04:20:14,26.84,59.74,6.88
9,Stasiun Herrerafurt,Riau,2024-06-28 03:59:18,34.53,80.14,10.72
10,Stasiun Mariastad,Kalimantan Barat,2024-12-27 06:10:30,21.42,56.12,12.57
11,Stasiun North Donnaport,Kalimantan Timur,2025-05-25 05:27:36,30.39,78.75,0.92
12,Stasiun Port Craig,Sumatera Utara,2024-09-08 21:53:40,33.92,94.19,17.11
13,Stasiun Franciscostad,Jawa Tengah,2024-08-14 21:43:59,26.84,64.94,16.68
14,Stasiun Jacquelineland,DKI Jakarta,2025-01-07 20:44:27,26.66,51.52,5.34
15,Stasiun New Jessica,Jawa Tengah,2024-07-29 01:35:30,30.96,49.41,14.58
16,Stasiun Nelsonside,DKI Jakarta,2024-08-18 14:20:19,28.32,54.85,18.51
17,Stasiun Meganton,Sumatera Utara,2024-08-22 01:01:30,32.32,86.36,15.52
18,Stasiun Port Leslieview,Sumatera Utara,2024-06-23 13:26:17,34.79,84.28,8.02
19,Stasiun Jasonfort,Jawa Tengah,2024-10-21 21:15:32,23.8,91.86,17.53
20,Stasiun Thomasberg,Kalimantan Timur,2024-08-28 11:07:20,23.83,67.46,17.69
21,Stasiun Juliechester,Sulawesi Selatan,2025-04-23 07:20:40,22.57,47.68,14.9
22,Stasiun Coxberg,Riau,2024-12-02 11:37:47,33.45,63.56,11.67
23,Stasiun Port Brandonville,Kalimantan Timur,2024-07-25 05:00:54,23.95,94.86,10.19
24,Stasiun Port Erin,Jawa Tengah,2025-01-03 05:13:23,33.6,87.36,3.06
25,Stasiun Jamesmouth,DKI Jakarta,2024-12-09 15:20:02,34.26,63.22,1.27
26,Stasiun Lake Jenniferside,Kalimantan Barat,2025-02-28 15:15:33,30.73,65.74,5.03
27,Stasiun Danielchester,Jawa Timur,2024-07-27 03:37:03,32.25,46.3,17.7
28,Stasiun Lake Nancyview,Riau,2025-05-20 08:34:57,33.83,58.71,5.87
29,Stasiun New Rita,DKI Jakarta,2025-04-13 08:00:05,28.17,92.46,17.52
30,Stasiun Meaganhaven,Riau,2025-01-07 19:19:53,37.49,81.91,10.15
31,Stasiun West Kathryn,Jawa Tengah,2024-12-13 09:18:42,35.67,56.41,12.78
32,Stasiun New Mariotown,Sumatera Utara,2024-07-10 05:51:01,22.75,81.94,10.79
33,Stasiun Natashaport,Jawa Timur,2024-08-25 20:13:34,30.78,66.87,2.24
34,Stasiun New Stacey,Kalimantan Timur,2024-06-30 16:03:44,35.82,85.74,6.15
35,Stasiun Cabreraside,Jawa Timur,2025-03-06 02:21:55,24.34,71.2,1.58
36,Stasiun Lake Thomas,Sulawesi Selatan,2024-12-17 04:41:27,34.69,93.79,10.65
37,Stasiun Allisonchester,DKI Jakarta,2025-05-17 14:37:06,22.31,66.14,11.0
38,Stasiun Lake Larry,Riau,2025-05-28 20:29:06,29.5,73.36,19.29
39,Stasiun Samuelhaven,Sumatera Utara,2024-11-11 06:51:49,32.83,61.94,13.43
40,Stasiun East Caleb,Kalimantan Timur,2024-06-07 01:37:33,27.89,68.47,2.42
41,Stasiun New Jeffrey,Sumatera Utara,2024-06-25 07:33:11,21.15,41.16,11.08
42,Stasiun East Carloston,Sumatera Utara,2025-04-09 08:36:08,20.13,78.93,1.18
43,Stasiun New Johnfort,Jawa Tengah,2024-08-16 15:11:35,36.3,87.28,1.42
44,Stasiun Lake Selena,Sumatera Utara,2024-12-24 22:52:17,25.01,66.7,10.78
45,Stasiun Sanchezfort,Sulawesi Selatan,2025-03-21 07:34:10,24.37,66.01,8.14
46,Stasiun North Collin,Jawa Tengah,2024-11-03 19:44:09,21.74,63.71,8.47
47,Stasiun Jenkinston,Sulawesi Selatan,2025-01-31 07:47:48,35.55,42.98,13.07
